"Player","Total Games","Games Won","Games Lost","Average Score","Winning Percentage","Pos 1","Pos 2","Pos 3","Pos 4","Pos 5","Pos 6"
"Le bot aléatoire 1","4","0","4","6.0","0.0","0","0","0","1","2","1"
"Le bot malin 2","4","2","2","29.0","50.0","2","1","1","0","0","0"
"Le bot custom 3","4","0","4","11.0","0.0","0","1","1","0","2","0"
"Le bot Richard 4","4","2","2","14.0","50.0","2","0","1","1","0","0"
"Le bot builder 5","4","0","4","14.0","0.0","0","0","0","1","0","3"
"Le bot opportuniste 6","4","0","4","19.0","0.0","0","2","1","1","0","0"
