"Player","Total Games","Games Won","Games Lost","Average Score","Winning Percentage","Pos 1","Pos 2","Pos 3","Pos 4","Pos 5","Pos 6"
"Le bot malin 1","50000","2858","47142","18.73638","5.716","2858","5571","7636","10044","11932","11959"
"Le bot malin 2","50000","4767","45233","19.64204","9.533999999999999","4767","6906","8731","9647","10170","9779"
"Le bot malin 3","50000","6592","43408","20.42634","13.184000000000001","6592","8428","8918","8886","8619","8557"
"Le bot malin 4","50000","8983","41017","21.21846","17.965999999999998","8983","9350","8811","8055","7496","7305"
"Le bot malin 5","50000","11784","38216","22.0266","23.568","11784","9852","8263","7199","6428","6474"
"Le bot malin 6","50000","15016","34984","22.84268","30.031999999999996","15016","9893","7641","6169","5355","5926"
